Date,Ticker,Open,High,Low,Close,Volume
,,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD
2020-08-01,SHIB-USD,,,,,1604789
2020-08-02,SHIB-USD,,,,,193098
2020-08-03,SHIB-USD,,,,,129225
2020-08-04,SHIB-USD,,,,,19717
2020-08-05,SHIB-USD,,,,,26869
2020-08-06,SHIB-USD,,,,,8708
2020-08-07,SHIB-USD,,,,,17529
2020-08-08,SHIB-USD,,,,,13773
2020-08-09,SHIB-USD,,,,,5190
2020-08-10,SHIB-USD,,,,,6105
2020-08-11,SHIB-USD,,,,,2896
2020-08-12,SHIB-USD,,,,,1868
2020-08-13,SHIB-USD,,,,,1723
2020-08-14,SHIB-USD,,,,,3567
2020-08-15,SHIB-USD,,,,,1479
2020-08-16,SHIB-USD,,,,,506
2020-08-17,SHIB-USD,,,,,543
2020-08-18,SHIB-USD,,,,,153
2020-08-19,SHIB-USD,,,,,3411
2020-08-20,SHIB-USD,,,,,2058
2020-08-21,SHIB-USD,,,,,4894
2020-08-22,SHIB-USD,,,,,8019
2020-08-23,SHIB-USD,,,,,763
2020-08-24,SHIB-USD,,,,,32
2020-08-25,SHIB-USD,,,,,377
2020-08-26,SHIB-USD,,,,,595
2020-08-27,SHIB-USD,,,,,2404
2020-08-28,SHIB-USD,,,,,7426
2020-08-29,SHIB-USD,,,,,4191
2020-08-30,SHIB-USD,,,,,40609
2020-08-31,SHIB-USD,,,,,6653
2020-09-01,SHIB-USD,,,,,16378
2020-09-02,SHIB-USD,,,,,61769
2020-09-03,SHIB-USD,,,,,70619
2020-09-04,SHIB-USD,,,,,36623
2020-09-05,SHIB-USD,,,,,12080
2020-09-06,SHIB-USD,,,,,15529
2020-09-07,SHIB-USD,,,,,5673
2020-09-08,SHIB-USD,,,,,4343
2020-09-09,SHIB-USD,,,,,2993
2020-09-10,SHIB-USD,,,,,656
2020-09-11,SHIB-USD,,,,,79
2020-09-12,SHIB-USD,,,,,728
2020-09-13,SHIB-USD,,,,,697
2020-09-14,SHIB-USD,,,,,883
2020-09-15,SHIB-USD,,,,,429
2020-09-16,SHIB-USD,,,,,101
2020-09-17,SHIB-USD,,,,,1301
2020-09-18,SHIB-USD,,,,,290
2020-09-19,SHIB-USD,,,,,3568
2020-09-20,SHIB-USD,,,,,2796
2020-09-21,SHIB-USD,,,,,1881
2020-09-22,SHIB-USD,,,,,468
2020-09-23,SHIB-USD,,,,,505
2020-09-24,SHIB-USD,,,,,172
2020-09-25,SHIB-USD,,,,,206
2020-09-26,SHIB-USD,,,,,249
2020-09-27,SHIB-USD,,,,,2378
2020-09-28,SHIB-USD,,,,,640
2020-09-29,SHIB-USD,,,,,250
2020-09-30,SHIB-USD,,,,,512
2020-10-01,SHIB-USD,,,,,305
2020-10-02,SHIB-USD,,,,,8948
2020-10-03,SHIB-USD,,,,,9065
2020-10-04,SHIB-USD,,,,,9203
2020-10-05,SHIB-USD,,,,,2628
2020-10-06,SHIB-USD,,,,,3932
2020-10-07,SHIB-USD,,,,,5086
2020-10-08,SHIB-USD,,,,,748
2020-10-09,SHIB-USD,,,,,1197
2020-10-10,SHIB-USD,,,,,304
2020-10-11,SHIB-USD,,,,,10
2020-10-12,SHIB-USD,,,,,109
2020-10-13,SHIB-USD,,,,,1214
2020-10-14,SHIB-USD,,,,,53
2020-10-15,SHIB-USD,,,,,25
2020-10-16,SHIB-USD,,,,,179
2020-10-17,SHIB-USD,,,,,45
2020-10-18,SHIB-USD,,,,,4
2020-10-19,SHIB-USD,,,,,58
2020-10-20,SHIB-USD,,,,,514
2020-10-21,SHIB-USD,,,,,534
2020-10-22,SHIB-USD,,,,,28
2020-10-28,SHIB-USD,,,,,460
2020-10-29,SHIB-USD,,,,,13
2020-10-30,SHIB-USD,,,,,84
2020-10-31,SHIB-USD,,,,,171
2020-11-01,SHIB-USD,,,,,1
2020-11-02,SHIB-USD,,,,,662
2020-11-03,SHIB-USD,,,,,429
2020-11-04,SHIB-USD,,,,,36
2020-11-05,SHIB-USD,,,,,199
2020-11-06,SHIB-USD,,,,,11
2020-11-09,SHIB-USD,,,,,62
2020-11-12,SHIB-USD,,,,,1374
2020-11-13,SHIB-USD,,,,,713
2020-11-14,SHIB-USD,,,,,136
2020-11-15,SHIB-USD,,,,,10
2020-11-16,SHIB-USD,,,,,36
2020-11-17,SHIB-USD,,,,,9
2020-11-18,SHIB-USD,,,,,9
2020-11-19,SHIB-USD,,,,,2
2020-11-20,SHIB-USD,,,,,158
2020-11-21,SHIB-USD,,,,,60
2020-11-22,SHIB-USD,,,,,83
2020-11-27,SHIB-USD,,,,,9
2020-11-28,SHIB-USD,,,,,1380
2020-11-29,SHIB-USD,,,,,8
2020-11-30,SHIB-USD,,,,,154
2020-12-04,SHIB-USD,,,,,36
2020-12-05,SHIB-USD,,,,,12
2020-12-06,SHIB-USD,,,,,6
2020-12-08,SHIB-USD,,,,,20
